,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6146879,10687457,HZ440357,09/18/2016 07:00:00 PM,027XX W ROOSEVELT RD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1135,11.0,28.0,29.0,03,1158056.0,1894595.0,2016,09/26/2016 03:52:09 PM,41.866517623,-87.695233768,"(41.866517623, -87.695233768)"
2411063,8427494,HV105779,01/04/2012 01:55:00 PM,001XX E CHICAGO AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,False,False,1833,18.0,42.0,8.0,06,1177210.0,1905755.0,2012,02/04/2016 06:33:39 AM,41.896729066,-87.624579657,"(41.896729066, -87.624579657)"
3439791,10208246,HY395201,08/23/2015 04:00:00 PM,001XX S MASON AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,1513,15.0,29.0,25.0,26,1136857.0,1898755.0,2015,08/31/2015 03:43:09 PM,41.87833927,-87.772958797,"(41.87833927, -87.772958797)"
2751528,8966821,HW115152,01/12/2013 07:50:00 PM,003XX E 47TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,False,False,224,2.0,3.0,38.0,14,1179029.0,1873926.0,2013,02/04/2016 06:33:39 AM,41.809346801,-87.618871535,"(41.809346801, -87.618871535)"
3397169,10133147,HY321883,06/30/2015 10:00:00 AM,0000X E RANDOLPH ST,0890,THEFT,FROM BUILDING,OTHER,False,False,111,1.0,42.0,32.0,06,1176904.0,1901295.0,2015,08/17/2015 03:03:40 PM,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
2481335,8539974,HV216286,03/25/2012 05:00:00 PM,015XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1424,14.0,1.0,24.0,06,1162787.0,1910173.0,2012,02/04/2016 06:33:39 AM,41.909167122,-87.677428649,"(41.909167122, -87.677428649)"
2722323,8920113,HV590212,09/17/2012 12:00:00 AM,050XX W VAN BUREN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1533,15.0,29.0,25.0,06,1142797.0,1897540.0,2012,02/04/2016 06:33:39 AM,41.87489666,-87.751178379,"(41.87489666, -87.751178379)"
2748123,8961033,HW109514,01/08/2013 03:00:00 PM,013XX W 87TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,613,6.0,21.0,71.0,08B,1168737.0,1847068.0,2013,02/04/2016 06:33:39 AM,41.735873659,-87.657394882,"(41.735873659, -87.657394882)"
3177509,9674305,HX324664,06/29/2014 10:56:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,SIDEWALK,False,False,312,3.0,20.0,69.0,08B,1180029.0,1862344.0,2014,02/04/2016 06:33:39 AM,41.777541862,-87.615558432,"(41.777541862, -87.615558432)"
3303741,9888294,HX538566,12/11/2014 04:05:00 PM,004XX S STATE ST,0460,BATTERY,SIMPLE,LIBRARY,True,False,113,1.0,2.0,32.0,08B,1176436.0,1898416.0,2014,02/04/2016 06:33:39 AM,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
3305002,9890576,HX540707,12/13/2014 12:55:00 PM,055XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,STREET,False,False,231,2.0,20.0,40.0,08B,1179873.0,1868179.0,2014,02/04/2016 06:33:39 AM,41.793557232,-87.615951848,"(41.793557232, -87.615951848)"
2686148,8862347,HV535769,10/26/2012 03:20:00 PM,083XX S RACINE AVE,0460,BATTERY,SIMPLE,OTHER,True,False,613,6.0,21.0,71.0,08B,1169772.0,1849586.0,2012,02/04/2016 06:33:39 AM,41.742761034,-87.65353015,"(41.742761034, -87.65353015)"
2654922,8813254,HV486305,09/21/2012 10:33:00 PM,009XX E 76TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,624,6.0,8.0,69.0,04B,1183772.0,1854815.0,2012,02/04/2016 06:33:39 AM,41.756795013,-87.602071385,"(41.756795013, -87.602071385)"
2585547,8703075,HV379233,07/12/2012 01:52:00 PM,052XX W NORTH AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,2532,25.0,37.0,25.0,06,1141381.0,1910140.0,2012,02/04/2016 06:33:39 AM,41.909498816,-87.756066167,"(41.909498816, -87.756066167)"
2829242,9095560,HW239690,04/19/2013 06:20:00 PM,037XX W 59TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,822,8.0,13.0,65.0,26,1152476.0,1865226.0,2013,02/04/2016 06:33:39 AM,41.786037198,-87.716492741,"(41.786037198, -87.716492741)"
794545,10517202,HZ259063,05/10/2016 04:11:00 PM,037XX N NEWCASTLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1632,16.0,36.0,17.0,08B,1130071.0,1924044.0,2016,05/17/2016 03:49:21 PM,41.947854448,-87.797295647,"(41.947854448, -87.797295647)"
3307894,9895586,HX545961,12/16/2014 06:14:00 PM,079XX S DOBSON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,624,6.0,8.0,44.0,26,1184602.0,1852522.0,2014,02/04/2016 06:33:39 AM,41.75048339,-87.599101334,"(41.75048339, -87.599101334)"
3216855,9739538,HX389557,08/16/2014 03:54:00 AM,047XX W SCHUBERT AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,False,2521,25.0,31.0,19.0,26,1144383.0,1917462.0,2014,02/04/2016 06:33:39 AM,41.92953516,-87.744853411,"(41.92953516, -87.744853411)"
3167568,9658250,HX308477,06/18/2014 08:45:00 AM,048XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1533,15.0,28.0,25.0,08B,1144082.0,1900065.0,2014,02/04/2016 06:33:39 AM,41.881801556,-87.746396937,"(41.881801556, -87.746396937)"
3349071,10049202,HY238661,04/28/2015 04:00:00 AM,041XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,APARTMENT,True,True,1132,11.0,28.0,26.0,08A,1148747.0,1898362.0,2015,08/17/2015 03:03:40 PM,41.877039505,-87.729311002,"(41.877039505, -87.729311002)"
